Lat,Lon
6.627922,44.422007
6.628048,44.422003
6.628173,44.421999
6.628298,44.421995
6.628424,44.421991
6.628549,44.421987
6.628675,44.421983
6.6288,44.421979
6.628925,44.421975
6.629051,44.421971
6.629176,44.421967
6.629301,44.421963
6.629427,44.421959
6.629552,44.421955
6.629678,44.421951
6.629803,44.421947
6.629928,44.421943
6.630054,44.421939
6.630179,44.421935
6.630304,44.421931
6.63043,44.421927
6.630555,44.421923
6.630681,44.421919
6.630806,44.421915
6.630931,44.421911
6.631057,44.421907
6.631182,44.421903
6.631307,44.421899
6.631433,44.421895
6.631558,44.421891
6.631683,44.421887
6.631809,44.421883
6.631934,44.421879
6.63206,44.421875
6.632185,44.421871
6.63231,44.421867
6.632436,44.421863
6.632561,44.421859
6.632686,44.421855
6.632812,44.421851
6.632937,44.421847
6.633063,44.421843
6.633188,44.421839
6.633313,44.421835
6.633439,44.421831
6.633564,44.421827
6.633689,44.421823
6.633815,44.421819
6.63394,44.421815
6.634065,44.421811
6.634191,44.421807
6.634316,44.421803
6.634442,44.421799
6.634567,44.421795
6.634692,44.421791
6.634818,44.421787
6.634943,44.421783
6.635068,44.421779
6.635194,44.421775
6.635319,44.421771
6.635445,44.421767
6.63557,44.421763
6.635695,44.421759
6.635821,44.421755
6.635946,44.421751
6.636071,44.421747
6.636197,44.421743
6.636322,44.421739
6.636447,44.421735
6.636573,44.421731
6.636698,44.421727
6.636824,44.421723
6.636949,44.421719
6.637074,44.421715
6.6372,44.421711
6.637325,44.421707
6.63745,44.421703
6.637576,44.421699
6.637701,44.421695
6.637827,44.421691
6.637952,44.421687
6.638077,44.421683
6.638203,44.421679
6.638328,44.421675
6.638453,44.421671
6.638579,44.421667
6.638704,44.421663
6.638829,44.421659
6.638955,44.421655
6.63908,44.421651
6.639206,44.421647
6.639331,44.421643
6.639456,44.421639
6.639582,44.421635
6.639707,44.421631
6.639832,44.421627
6.639958,44.421623
6.640083,44.421619
6.640209,44.421615
6.640334,44.421611
6.640459,44.421607
6.640585,44.421603
6.64071,44.421599
6.640835,44.421595
6.640961,44.421591
6.641086,44.421587
6.641211,44.421583
6.641337,44.421579
6.641462,44.421575
6.641588,44.421571
6.641713,44.421567
6.641838,44.421563
6.641964,44.421559
6.642089,44.421555
6.642214,44.421551
6.64234,44.421547
6.642465,44.421543
6.642591,44.421539
6.642716,44.421535
6.642841,44.421531
6.642967,44.421527
6.643092,44.421523
6.643217,44.421519
6.643343,44.421515
6.643468,44.421511
6.643593,44.421507
6.643719,44.421503
6.643844,44.421499
6.64397,44.421495
6.644095,44.421491
6.64422,44.421487
6.644346,44.421483
6.644471,44.421479
6.644596,44.421475
6.644722,44.421471
6.644847,44.421467
6.644972,44.421463
6.645098,44.421459
6.645223,44.421455
6.645349,44.421451
6.645474,44.421447
6.645599,44.421443
6.645725,44.421439
6.64585,44.421435
6.645975,44.421431
6.646101,44.421427
6.646226,44.421423
6.646352,44.421419
6.646477,44.421415
6.646602,44.421411
6.646728,44.421407
6.646853,44.421403
6.646978,44.421399
6.647104,44.421395
6.647229,44.421391
6.647354,44.421387
6.64748,44.421383
6.647605,44.421379
6.647731,44.421375
6.647856,44.421371
6.647981,44.421367
6.648107,44.421363
6.648232,44.421359
6.648357,44.421355
6.648483,44.421351
6.648608,44.421347
6.648733,44.421343
6.648859,44.421339
6.648984,44.421335
6.64911,44.421331
6.649235,44.421327
6.64936,44.421323
6.649486,44.421319
6.649611,44.421315
6.649736,44.421311
6.649862,44.421307
6.649987,44.421303
6.650112,44.421299
6.650238,44.421295
6.650363,44.421291
6.650489,44.421287
6.650614,44.421283
6.650739,44.421279
6.650865,44.421275
6.65099,44.421271
6.651115,44.421267
6.651241,44.421263
6.651366,44.421259
6.651492,44.421254
6.651617,44.42125
6.651742,44.421246
6.651868,44.421242
6.651993,44.421238
6.652118,44.421234
6.652244,44.42123
6.652369,44.421226
6.652494,44.421222
6.65262,44.421218
6.652745,44.421214
6.652871,44.42121
6.652996,44.421206
6.653121,44.421202
6.653247,44.421198
6.653372,44.421194
6.653497,44.42119
6.653623,44.421186
6.653748,44.421182
6.653873,44.421178
6.653999,44.421174
6.654124,44.42117
6.65425,44.421166
6.654375,44.421162
6.6545,44.421158
6.654626,44.421154
6.654751,44.42115
6.654876,44.421146
6.655002,44.421142
6.655127,44.421138
6.655252,44.421134
6.655378,44.42113
6.655503,44.421126
6.655629,44.421122
6.655754,44.421118
6.655879,44.421114
6.656005,44.42111
6.65613,44.421106
6.656255,44.421102
6.656381,44.421098
6.656506,44.421094
6.656631,44.42109
6.656757,44.421086
6.656882,44.421082
6.657008,44.421078
6.657133,44.421074
6.657258,44.42107
6.657384,44.421066
6.657509,44.421062
6.657634,44.421058
6.65776,44.421054
6.657885,44.42105
6.65801,44.421046
6.658136,44.421042
6.658261,44.421038
6.658387,44.421034
6.658512,44.42103
6.658637,44.421026
6.658763,44.421022
6.658888,44.421017
6.659013,44.421013
6.659139,44.421009
6.659264,44.421005
6.659389,44.421001
6.659515,44.420997
6.65964,44.420993
6.659766,44.420989
6.659891,44.420985
6.660016,44.420981
6.660142,44.420977
6.660267,44.420973
6.660392,44.420969
6.660518,44.420965
6.660643,44.420961
6.660768,44.420957
6.660894,44.420953
6.661019,44.420949
